18332	
	(-0.001513032714,0.0004484680705)	(-0.003747354718,0.001193516215)	(-0.001467876403,0.0004441666573)	(-0.003851596474,0.001251792215)	(0.007770035677,-0.001175073644)
	(-0.001565411261,0.0004541677147)	(-0.00367043936,0.001144639615)	(0.008625987507,-0.001251583339)	(-0.001958589286,0.0005574195948)	(-0.004313864834,0.001342996563)
	(-0.001874194305,0.0005481956538)	(-0.004404356724,0.001406813324)	(-0.00158868,0.0004497225459)	(-0.00352359912,0.001071748811)	(-0.001945756761,0.0005887825339)
	(-0.004960528272,0.001652814983)	(-0.001908984902,0.0005986841196)	(-0.005439119545,0.001888704731)	(-0.001761526373,0.0005460787953)	(-0.004884904073,0.00165856371)
	(0.007329325707,-0.001116596832)	(-0.002089173511,0.0006411634883)	(-0.00548780059,0.001873806652)	(-0.001657213383,0.0005499072461)	(-0.006162569065,0.002280349946)
	(-0.001928459621,0.0006288646256)	(-0.006376408509,0.002338439171)	(-0.001601403905,0.0005253107061)	(-0.005642691991,0.002044069998)	(0.005808800836,-0.0009289983661)
	(-0.001807659846,0.0005833341689)	(-0.005785587965,0.002074047581)	(-0.002219914543,0.0006896627197)	(-0.005985066263,0.002089957005)	(-0.002157146697,0.0006919816126)
	(-0.006514344316,0.002366189251)	(-0.002034190677,0.0006449420676)	(-0.005955872073,0.002112937421)	(0.006895276275,-0.001052419873)	(-0.002353193831,0.0007406858049)
	(-0.006531965314,0.002338484316)	(-0.001721309782,0.0005940795889)	(-0.00817843033,0.003293228775)	(-0.001675512804,0.000567969235)	(-0.007072832173,0.002722043195)
	(-0.001924871719,0.0006556149571)	(-0.007996131491,0.00317108898)	(-0.001982796604,0.000668332246)	(-0.007666874361,0.002986921923)	(-0.001961973753,0.0006474228907)
	(-0.006823124115,0.0025548576)	(-0.001692076416,0.0005673977999)	(-0.006650181199,0.002510713172)	(0.005169781329,-0.000830597115)	(-0.002020950626,0.0006734987294)
	(-0.007315101066,0.0027970702)	(-0.001641402979,0.0005618137621)	(-0.007470759245,0.002927831102)	(0.004421831478,-0.0007116571282)	(-4.241282698e-035,3.801926316e-036)
	(5.257980399e-035,-7.921519436e-036)	(0.01219810007,-0.001420031598)	(-8.329487163e-035,7.757801249e-036)	(1.037592097e-034,-1.623744359e-035)	(-0.0004456474946,9.55736948e-005)
	(-0.0006977650854,0.000152525963)	(-8.705809918e-035,7.51557408e-036)	(1.072155871e-034,-1.55359692e-035)	(-0.0005740739307,0.0001363168321)	(-0.001002709311,0.0002441038791)
	(-8.150155929e-035,8.031972009e-036)	(9.393938317e-035,-1.60498585e-035)	(-4.005903426e-035,3.704691441e-036)	(5.107436833e-035,-8.478772954e-036)	(0.01162624047,-0.00144725706)
	(-0.0004365909136,9.687991295e-005)	(-0.0007000944229,0.000158178551)	(-3.946664575e-035,4.000786518e-036)	(4.612170082e-035,-8.140167206e-036)	(0.01082222238,-0.001412679926)
	(-0.0005150345488,0.0001264159289)	(-0.0009403688035,0.0002358792962)	(-0.0006117729502,0.0001411476556)	(-0.001022034765,0.0002421396636)	(-0.001565776891,0.0004086831698)
	(-0.003005546705,0.0008397562695)	(-0.001002983908,0.0002483903915)	(-0.001821107036,0.0004707780254)	(0.01089568647,-0.001396936699)	(-0.001199168511,0.0003129955383)
	(-0.002332424573,0.0006411282842)	(0.01021523601,-0.001362867736)	(-0.001609669577,0.0004075448113)	(-0.00294717419,0.0007999594468)	(-0.00110326686,0.0002807965142)
	(-0.002068499319,0.0005517778121)	(-0.001538946638,0.0003792776639)	(-0.002724492633,0.0007176369871)	(-0.001078267739,0.0002586608682)	(-0.001876442031,0.0004716594166)
